Date,Open,High,Low,Close,Adj Close,Volume
25/10/2016,29.487499,29.59,29.327499,29.5625,27.813614,192516000
26/10/2016,28.577499,28.924999,28.327499,28.897499,27.187952,264536800
27/10/2016,28.8475,28.965,28.525,28.620001,26.926868,138248000
28/10/2016,28.467501,28.8025,28.362499,28.43,26.748108,151446800
31/10/2016,28.4125,28.557501,28.299999,28.385,26.705769,105677600
1/11/2016,28.365,28.442499,27.6325,27.872499,26.223593,175303200
2/11/2016,27.85,28.0875,27.807501,27.897499,26.24711,113326800
3/11/2016,27.745001,27.865,27.387501,27.4575,25.965776,107730400
4/11/2016,27.1325,27.5625,27.0275,27.209999,25.73172,123348000
7/11/2016,27.52,27.627501,27.365,27.602501,26.1029,130240000
8/11/2016,27.577499,27.93,27.424999,27.764999,26.256563,97016800
9/11/2016,27.469999,27.83,27.012501,27.719999,26.214012,236705600
10/11/2016,27.772499,27.772499,26.4575,26.9475,25.483482,228538000
11/11/2016,26.780001,27.217501,26.637501,27.1075,25.634789,136575600
14/11/2016,26.9275,26.952499,26.02,26.4275,24.991735,204702000
15/11/2016,26.6425,26.92,26.540001,26.7775,25.322718,129058000
16/11/2016,26.674999,27.557501,26.65,27.497499,26.003603,235362000
17/11/2016,27.452499,27.5875,27.2075,27.487499,25.994146,110528000
18/11/2016,27.43,27.635,27.415001,27.514999,26.020147,113715600
21/11/2016,27.530001,27.997499,27.502501,27.932501,26.414972,117058400
22/11/2016,27.987499,28.105,27.85,27.950001,26.431519,103862000
23/11/2016,27.84,27.877501,27.5825,27.807501,26.296761,109705600
25/11/2016,27.782499,27.967501,27.737499,27.9475,26.429152,45903600
28/11/2016,27.8575,28.1175,27.8475,27.8925,26.37714,108776000
29/11/2016,27.695,28.0075,27.5175,27.865,26.351133,114115200
30/11/2016,27.9,28.049999,27.567499,27.629999,26.128902,144649200
1/12/2016,27.592501,27.735001,27.2575,27.372499,25.885395,148347600
2/12/2016,27.2925,27.522499,27.2125,27.475,25.982323,106112000
5/12/2016,27.5,27.5075,27.0625,27.2775,25.795553,137298000
6/12/2016,27.375,27.59,27.297501,27.487499,25.994146,104782000
7/12/2016,27.315001,27.797501,27.290001,27.7575,26.249474,119994800
8/12/2016,27.715,28.1075,27.65,28.030001,26.507175,108273200
9/12/2016,28.077499,28.674999,28.077499,28.487499,26.939817,137610400
12/12/2016,28.3225,28.75,28.122499,28.325001,26.786144,105497600
13/12/2016,28.459999,28.98,28.4375,28.797501,27.232977,174935200
14/12/2016,28.76,29.049999,28.745001,28.797501,27.232977,136127200
15/12/2016,28.844999,29.182501,28.807501,28.955,27.381918,186098000
16/12/2016,29.1175,29.125,28.9125,28.9925,27.417383,177404400
19/12/2016,28.950001,29.344999,28.9375,29.16,27.575779,111117600
20/12/2016,29.184999,29.375,29.17,29.237499,27.649071,85700000
21/12/2016,29.200001,29.35,29.195,29.264999,27.675074,95132800
22/12/2016,29.0875,29.127501,28.91,29.0725,27.493036,104343600
23/12/2016,28.897499,29.129999,28.897499,29.129999,27.547411,56998000
27/12/2016,29.129999,29.450001,29.122499,29.315001,27.722363,73187600
28/12/2016,29.379999,29.504999,29.049999,29.190001,27.604153,83623600
29/12/2016,29.112499,29.2775,29.1,29.182501,27.597061,60158000
30/12/2016,29.1625,29.299999,28.8575,28.955,27.381918,122345200
3/1/2017,28.950001,29.0825,28.690001,29.0375,27.459938,115127600
4/1/2017,28.9625,29.127501,28.9375,29.004999,27.429203,84472400
5/1/2017,28.98,29.215,28.952499,29.1525,27.568691,88774400
6/1/2017,29.195,29.540001,29.1175,29.477501,27.87603,127007600
9/1/2017,29.487499,29.8575,29.485001,29.747499,28.131361,134247600
10/1/2017,29.692499,29.844999,29.575001,29.7775,28.159733,97848400
11/1/2017,29.684999,29.9825,29.65,29.9375,28.311039,110354400
